char_words,wiki_ID
Andy,30625
Ernie,30625
Boyd,30625
Floyd,30625
Ellis,30625
Brooks,30625
Diamond,30625
Jonathan,4276475
James,4276475
Lucius,4276475
Mike,4276475
Gillian,4276475
Anna,4276475
Fox,4276475
Gordon,4276475
Salvatore,4276475
Barbara,4276475
Coleman,4276475
Alfred,4276475
Maurice,23270459
Yusuf,23270459
Fischer,23270459
Tyler,1009041
Marla,1009041
Thomas,1009041
Louise,41528
Bryant,41528
Paul,41528
Curran,41528
Benjamin,41528
Elvis,41528
Buford,41528
Presley,41528
Young,41528
Jenny,41528
Dan,41528
Ricky,54173
Maynard,54173
Jules,54173
Vincent,54173
Buddy,54173
Roger,54173
Wallace,54173
Young,54173
Ed,54173
Brett,54173
Monroe,54173
Honey,54173
Long,54173
Winston,54173
Page,54173
Paul,54173
Raquel,54173
Jerry,54173
Mamie,54173
Wilson,54173
Dean,54173
Lewis,54173
Phillip,54173
Marilyn,54173
Jimmie,54173
Marvin,54173
Nelson,54173
Morris,54173
Holly,54173
Fabienne,54173
Lance,54173
James,54173
Floyd,54173
Joe,54173
Butch,54173
Smith,30007
Joe,2466773
Philip,2466773
Al,2466773
Salvatore,2466773
Sonny,2466773
Willie,2466773
Johnny,2466773
Rocco,2466773
Pete,2466773
Vito,2466773
Virgil,2466773
Jack,2466773
Michael,2466773
Francis,2466773
Carlo,2466773
Carmella,2466773
Emilio,2466773
Mark,2466773
Rosie,173941
Albert,173941
Rosie,174251
Bane,29075630
Gordon,29075630
Jim,29075630
Wayne,29075630
Tate,29075630
Anthony,29075630
Lucius,29075630
Bruce,29075630
Judge,29075630
Holly,29075630
Alfred,29075630
Miranda,29075630
Robinson,29075630
Davis,206818
John,206818
Freda,173944
Ace,31638720
Lee,31638720
Hagen,3616797
Cassius,3616797
Marcus,3616797
Lucius,481605
Henri,481605
Carmine,481605
Gillian,481605
Rachel,481605
Fox,481605
Martha,481605
Joe,481605
James,481605
Barbara,481605
Judge,481605
Thomas,481605
Alfred,481605
Gordon,481605
Marcel,633052
Wolfgang,633052
Wilhelm,633052
Hans,633052
Bridget,633052
Francesca,633052
Joseph,633052
Omar,633052
Kagan,633052
Hugo,633052
Aldo,633052
Archie,633052
Raine,633052
Winston,633052
Donny,633052
Jordan,36196361
Matthews,30006
Barney,30006
Bill,30006
Frederick,30006
Crawford,30006
Ruth,30006
Precious,30006
Clarice,30006
Wade,28269
Fred,28269
Ryan,28269
Miller,28269
Fallon,28269
Francis,28269
Daniel,28269
Anderson,28269
Lyle,28269
Stanley,28269
Michael,28269
Henderson,28269
Frederick,28269
John,28269
Adrian,28269
Parker,28269
Irwin,28269
Willie,28269
Wilson,28269
Steve,22114132
Erik,22114132
Nick,22114132
Jasper,22114132
Natasha,22114132
Rogers,22114132
Tony,22114132
Phil,22114132
Loki,22114132
Jarvis,22114132
Thor,22114132
Edwin,22114132
Bruce,22114132
America,22114132
Pepper,22114132
Leia,52549
General,52549
Lars,52549
Owen,52549
Willard,52549
Marcel,65834
Leo,65834
Helen,65834
Josef,65834
Rebecca,65834
Herman,65834
Oskar,65834
Emilie,65834
Amon,65834
Andrew,13950959
Dolores,13950959
Teddy,13950959
Alfred,2809621
Olivia,2809621
Milton,2809621
Alley,2809621
Judge,2809621
Cutter,2809621
Boy,2809621
John,2809621
Julia,2809621
Sarah,2809621
Sullivan,1349086
Billy,1349086
Frank,1349086
Madolyn,1349086
Colin,1349086
Gwen,1349086
Eduard,946164
Jan,946164
Hal,946164
John,946164
Elaine,946164
Harry,946164
Dean,946164
Percy,946164
Arlen,946164
Stanton,946164
Jake,4273140
Star,4273140
Miles,4273140
Sully,4273140
Grace,4273140
Trudy,4273140
Max,4273140
Augustine,4273140
Aide,53964
Major,53964
Leia,53964
Michael,73875
Vito,73875
Rocco,73875
Al,73875
Frank,73875
Young,73875
Sonny,73875
Geary,73875
Don,73875
Ola,73875
Willie,73875
Leonard,2750041
Teddy,2750041
Jimmy,2750041
Sammy,2750041
Natalie,2750041
Berry,42993
Parker,42993
Goldie,42993
Lorraine,42993
Dave,42993
Sam,42993
Linda,42993
Wilson,42993
Marvin,42993
Stella,42993
Milton,42993
Sherman,42993
Sally,42993
Smith,52371
Andrews,52371
Harold,52371
John,52371
Bobby,52371
Calvert,52371
Rose,52371
Ryan,52371
Brock,52371
Thomas,52371
Dawson,52371
William,52371
Molly,52371
Lewis,52371
Tommy,52371
Ruth,52371
Tommy,64394
Sandy,64394
Paul,64394
Sonny,64394
Frankie,64394
Morris,64394
Henry,64394
James,64394
Malky,40672
Tony,40672
Mickey,40672
Norman,40672
Brad,44122
Jane,44122
Dupree,44122
Frank,44122
Berkley,44122
Hayes,44122
Christy,44122
Ricky,44122
Carolyn,44122
Jim,44122
Buddy,44122
Lester,44122
Will,321496
Turner,321496
Giselle,321496
Hector,321496
Anamaria,321496
Elizabeth,321496
Johnny,301314
Elle,301314
Edgar,301314
Earl,301314
Buck,301314
Bill,301314
Daryl,171562
Dawson,171562
Doris,171562
Alexander,171562
Seth,171562
Dennis,171562
Davina,171562
Bob,171562
Ryan,171562
Lamont,171562
Murray,171562
Delia,1891886
Adam,1891886
James,1891886
Anthony,1891886
Lewis,1891886
Dominic,1891886
Valerie,1891886
Lauren,232711
Ron,232711
Meryl,232711
Vivien,232711
Sylvia,232711
Don,232711
Lawrence,232711
Simeon,232711
Marlon,232711
Truman,232711
Enrique,34344124
Lloyd,34344124
Douglas,34344124
Bennett,34344124
Sarah,34344124
Tim,34344124
Janelle,34344124
Tarissa,34344124
Miles,34344124
Dave,167857
Edie,167857
Keaton,167857
Dean,167857
Fred,167857
Roger,167857
Michael,167857
Timon,88678
Ed,88678
Allen,5676692
Hogan,5676692
Hugh,5676692
Tony,5676692
Ahmed,5676692
Raza,5676692
Gabriel,5676692
Howard,5676692
Jarvis,5676692
Abu,5676692
Luke,50744
Leia,50744
Charles,11659396
Tom,11659396
Edith,11659396
